16.06.2021,Pegasus Airlines,TLV,ALA,1 stop,10h 00m,854
16.06.2021,Pegasus Airlines,TLV,ALA,1 stop,10h 00m,823
16.06.2021,Belavia,TLV,ALA,1 stop,11h 35m,823
16.06.2021,Pegasus Airlines,TLV,ALA,1 stop,15h 05m,835
16.06.2021,Pegasus Airlines,TLV,ALA,1 stop,19h 20m,846
16.06.2021,Turkish Airlines,TLV,ALA,1 stop,14h 55m,854
16.06.2021,flydubai,TLV,ALA,1 stop,10h 10m,863
16.06.2021,"Ukraine International Airlines, Air Astana",TLV,ALA,1 stop,13h 05m,909
16.06.2021,"Turkish Airlines, Pegasus Airlines",TLV,ALA,1 stop,19h 55m,924
16.06.2021,"EL AL, Air Astana",TLV,ALA,1 stop,19h 35m,950
16.06.2021,Emirates,TLV,ALA,1 stop,10h 10m,812
16.06.2021,"EL AL, Pegasus Airlines",TLV,ALA,2 stops,13h 55m,872
16.06.2021,"Turkish Airlines, Pegasus Airlines",TLV,ALA,2 stops,15h 00m,872
16.06.2021,Pegasus Airlines,TLV,ALA,2 stops,11h 35m,898
16.06.2021,Turkish Airlines,TLV,ALA,2 stops,14h 05m,924
16.06.2021,Turkish Airlines,TLV,ALA,2 stops,14h 05m,949
16.06.2021,Pegasus Airlines,TLV,ALA,2 stops,13h 50m,962
16.06.2021,flydubai,TLV,ALA,1 stop,14h 20m,"1,002"
16.06.2021,"EL AL, Pegasus Airlines",TLV,ALA,2 stops,19h 15m,"1,006"
16.06.2021,Turkish Airlines,TLV,ALA,1 stop,19h 00m,865
16.06.2021,"Turkish Airlines, Pegasus Airlines",TLV,ALA,2 stops,15h 00m,823
16.06.2021,"Turkish Airlines, Pegasus Airlines",TLV,ALA,2 stops,15h 00m,835
16.06.2021,"EL AL, Turkish Airlines",TLV,ALA,2 stops,18h 00m,846
16.06.2021,Pegasus Airlines,TLV,ALA,2 stops,18h 40m,854
16.06.2021,"Arkia, Air Astana",TLV,ALA,2 stops,14h 10m,863
16.06.2021,"Turkish Airlines, Pegasus Airlines",TLV,ALA,1 stop,15h 50m,924
16.06.2021,Multiple Airlines,TLV,ALA,2 stops,13h 45m,950
16.06.2021,"Turkish Airlines, Air Astana",TLV,ALA,2 stops,16h 30m,812
16.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,ALA,1 stop,14h 10m,823
16.06.2021,"Turkish Airlines, Air Astana",TLV,ALA,2 stops,17h 45m,835
16.06.2021,Emirates,TLV,ALA,1 stop,14h 20m,854
16.06.2021,"LOT, Air Astana",TLV,ALA,2 stops,27h 15m,863
16.06.2021,"Aegean Airlines, Lufthansa",TLV,ALA,2 stops,25h 50m,924
