12.06.2021,"Ryanair, Wizz Air",TLV,BAK,3 stops,39h 40m,311
12.06.2021,"Pegasus Airlines, Buta air",TLV,BAK,1 stop,6h 40m,726
12.06.2021,"Pegasus Airlines, Buta air",TLV,BAK,1 stop,8h 25m,726
12.06.2021,"Turkish Airlines, Buta air",TLV,BAK,1 stop,8h 00m,810
12.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,6h 40m,869
12.06.2021,Turkish Airlines,TLV,BAK,1 stop,6h 20m,910
12.06.2021,"Turkish Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,8h 00m,923
12.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,8h 25m,952
12.06.2021,Turkish Airlines,TLV,BAK,1 stop,8h 05m,953
12.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,BAK,1 stop,10h 40m,988
12.06.2021,Turkish Airlines,TLV,BAK,1 stop,10h 10m,"1,004"
12.06.2021,Turkish Airlines,TLV,BAK,1 stop,13h 15m,"1,014"
12.06.2021,Turkish Airlines,TLV,BAK,1 stop,15h 00m,"1,038"
12.06.2021,Emirates,TLV,BAK,1 stop,8h 20m,"1,043"
12.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,7h 00m,"1,053"
12.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,BAK,1 stop,20h 00m,910
