22.06.2021,"Wizz Air, Ryanair",TLV,BAK,3 stops,39h 25m,419
22.06.2021,"Pegasus Airlines, Buta air",TLV,BAK,1 stop,6h 40m,695
22.06.2021,"Pegasus Airlines, Buta air",TLV,BAK,1 stop,8h 25m,695
22.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,6h 40m,798
22.06.2021,"Turkish Airlines, Buta air",TLV,BAK,1 stop,7h 15m,824
22.06.2021,Turkish Airlines,TLV,BAK,1 stop,6h 20m,910
22.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,8h 25m,923
22.06.2021,"Turkish Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,7h 15m,951
22.06.2021,Turkish Airlines,TLV,BAK,1 stop,8h 05m,952
22.06.2021,Turkish Airlines,TLV,BAK,1 stop,10h 10m,988
22.06.2021,"Pegasus Airlines, Azerbaijan Airlines",TLV,BAK,1 stop,7h 15m,"1,004"
22.06.2021,Emirates,TLV,BAK,1 stop,8h 20m,"1,014"
22.06.2021,Turkish Airlines,TLV,BAK,1 stop,13h 15m,"1,035"
22.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,BAK,1 stop,10h 40m,"1,053"
22.06.2021,Turkish Airlines,TLV,BAK,1 stop,15h 00m,"1,058"
22.06.2021,Emirates,TLV,BAK,1 stop,11h 10m,910
