08.06.2021,"Wizz Air, LOT",TLV,BOJ,3 stops,22h 25m,870
08.06.2021,Wizz Air UK,TLV,BOJ,1 stop,15h 50m,432
08.06.2021,"Ukraine International Airlines, SkyUp",TLV,BOJ,1 stop,15h 50m,941
08.06.2021,Czech Airlines,TLV,BOJ,1 stop,6h 40m,785
08.06.2021,"Blue Air, Wizz Air UK",TLV,BOJ,1 stop,6h 40m,451
08.06.2021,"LOT, Ryanair",TLV,BOJ,1 stop,27h 30m,686
08.06.2021,"Ukraine International Airlines, SkyUp",TLV,BOJ,1 stop,27h 30m,951
08.06.2021,"Ukraine International Airlines, Wizz Air UK",TLV,BOJ,2 stops,19h 20m,782
08.06.2021,"Pegasus Airlines, Wizz Air UK",TLV,BOJ,2 stops,19h 20m,814
08.06.2021,"Wizz Air, LOT",TLV,BOJ,1 stop,13h 50m,870
08.06.2021,"Ukraine International Airlines, SkyUp",TLV,BOJ,1 stop,13h 50m,927
08.06.2021,"EL AL, Smartwings",TLV,BOJ,2 stops,13h 20m,"1,447"
08.06.2021,"EL AL, Smartwings",TLV,BOJ,2 stops,13h 20m,"1,576"
