05.06.2021,Multiple Airlines,TLV,CEZ,3 stops,38h 05m,"2,239"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"3,850"
05.06.2021,United Airlines,TLV,CEZ,2 stops,28h 20m,"2,950"
05.06.2021,United Airlines,TLV,CEZ,2 stops,24h 25m,"3,868"
05.06.2021,United Airlines,TLV,CEZ,2 stops,43h 45m,"2,968"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"3,948"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"3,050"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"2,346"
05.06.2021,United Airlines,TLV,CEZ,2 stops,31h 10m,"3,868"
05.06.2021,United Airlines,TLV,CEZ,2 stops,24h 25m,"2,968"
05.06.2021,United Airlines,TLV,CEZ,2 stops,33h 00m,"3,850"
05.06.2021,United Airlines,TLV,CEZ,2 stops,41h 15m,"3,868"
05.06.2021,United Airlines,TLV,CEZ,2 stops,41h 15m,"3,868"
05.06.2021,United Airlines,TLV,CEZ,2 stops,38h 20m,"3,948"
05.06.2021,United Airlines,TLV,CEZ,2 stops,40h 10m,"5,662"
05.06.2021,United Airlines,TLV,CEZ,2 stops,36h 45m,"7,442"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"7,442"
05.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"7,540"
05.06.2021,United Airlines,TLV,CEZ,2 stops,41h 15m,"7,540"
05.06.2021,United Airlines,TLV,CEZ,2 stops,41h 15m,"7,588"
