11.06.2021,"United Airlines, Boutique Air",TLV,CEZ,2 stops,24h 30m,"2,169"
11.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"2,346"
11.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"2,188"
11.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"2,328"
11.06.2021,United Airlines,TLV,CEZ,2 stops,36h 45m,"2,346"
11.06.2021,United Airlines,TLV,CEZ,2 stops,36h 45m,"2,474"
11.06.2021,United Airlines,TLV,CEZ,2 stops,41h 15m,"2,474"
11.06.2021,United Airlines,TLV,CEZ,2 stops,28h 20m,"2,328"
11.06.2021,United Airlines,TLV,CEZ,2 stops,24h 25m,"5,784"
11.06.2021,United Airlines,TLV,CEZ,2 stops,24h 25m,"5,643"
11.06.2021,United Airlines,TLV,CEZ,2 stops,22h 00m,"5,885"
11.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"5,741"
11.06.2021,United Airlines,TLV,CEZ,2 stops,29h 50m,"5,741"
