21.06.2021,Multiple Airlines,TLV,LAS,3 stops,42h 05m,"1,046"
21.06.2021,Delta,TLV,LAS,1 stop,21h 53m,"1,959"
21.06.2021,Delta,TLV,LAS,1 stop,21h 21m,"1,922"
21.06.2021,Delta,TLV,LAS,1 stop,23h 30m,"1,959"
21.06.2021,Delta,TLV,LAS,1 stop,24h 10m,"1,983"
21.06.2021,"EL AL, Alaska Airlines",TLV,LAS,1 stop,19h 30m,"1,946"
21.06.2021,"EL AL, JetBlue",TLV,LAS,1 stop,19h 53m,"1,959"
21.06.2021,EL AL,TLV,LAS,1 stop,19h 30m,"2,251"
21.06.2021,Delta,TLV,LAS,1 stop,28h 12m,"2,257"
21.06.2021,United Airlines,TLV,LAS,1 stop,29h 12m,"2,300"
21.06.2021,"EL AL, JetBlue",TLV,LAS,1 stop,24h 18m,"1,959"
21.06.2021,United Airlines,TLV,LAS,1 stop,20h 08m,"2,121"
21.06.2021,United Airlines,TLV,LAS,1 stop,21h 37m,"2,215"
21.06.2021,"EL AL, Alaska Airlines",TLV,LAS,1 stop,29h 10m,"2,375"
21.06.2021,"EL AL, Frontier",TLV,LAS,1 stop,31h 15m,"2,375"
21.06.2021,"EL AL, Frontier",TLV,LAS,1 stop,19h 39m,"2,280"
21.06.2021,United Airlines,TLV,LAS,1 stop,19h 06m,"2,343"
21.06.2021,United Airlines,TLV,LAS,1 stop,21h 11m,"2,708"
21.06.2021,United Airlines,TLV,LAS,1 stop,23h 31m,"3,736"
21.06.2021,British Airways,TLV,LAS,1 stop,22h 20m,"3,137"
21.06.2021,United Airlines,TLV,LAS,1 stop,29h 17m,"3,137"
21.06.2021,"LOT, Spirit Airlines",TLV,LAS,2 stops,21h 39m,"3,137"
21.06.2021,Lufthansa,TLV,LAS,2 stops,25h 29m,"7,354"
21.06.2021,Lufthansa,TLV,LAS,2 stops,25h 29m,"7,613"
21.06.2021,American Airlines,TLV,LAS,2 stops,22h 46m,"7,633"
21.06.2021,American Airlines,TLV,LAS,2 stops,23h 02m,"7,783"
21.06.2021,American Airlines,TLV,LAS,2 stops,23h 51m,"7,926"
21.06.2021,Delta,TLV,LAS,2 stops,21h 19m,"3,370"
21.06.2021,Delta,TLV,LAS,2 stops,21h 19m,"3,137"
21.06.2021,Delta,TLV,LAS,2 stops,23h 21m,"1,867"
21.06.2021,Delta,TLV,LAS,2 stops,23h 26m,"1,789"
21.06.2021,Delta,TLV,LAS,2 stops,23h 26m,"1,993"
21.06.2021,United Airlines,TLV,LAS,2 stops,21h 59m,"2,010"
21.06.2021,United Airlines,TLV,LAS,2 stops,22h 33m,"2,016"
21.06.2021,"LOT, Spirit Airlines",TLV,LAS,2 stops,28h 04m,"2,167"
21.06.2021,United Airlines,TLV,LAS,2 stops,26h 35m,"1,909"
21.06.2021,United Airlines,TLV,LAS,2 stops,30h 30m,"2,001"
21.06.2021,United Airlines,TLV,LAS,2 stops,30h 30m,"2,010"
21.06.2021,United Airlines,TLV,LAS,2 stops,31h 55m,"2,016"
21.06.2021,United Airlines,TLV,LAS,2 stops,31h 55m,"2,033"
21.06.2021,Austrian Airlines,TLV,LAS,2 stops,40h 18m,"2,167"
21.06.2021,Delta,TLV,LAS,2 stops,23h 54m,"1,909"
21.06.2021,Delta,TLV,LAS,2 stops,25h 35m,"6,040"
21.06.2021,Delta,TLV,LAS,2 stops,26h 09m,"1,911"
21.06.2021,Delta,TLV,LAS,2 stops,26h 09m,"6,040"
21.06.2021,Delta,TLV,LAS,2 stops,27h 27m,"1,911"
