06.06.2021,Belavia,TLV,MSQ,nonstop,3h 45m,574
06.06.2021,Ukraine International Airlines,TLV,MSQ,1 stop,5h 40m,574
06.06.2021,Ukraine International Airlines,TLV,MSQ,1 stop,7h 10m,587
06.06.2021,"Ukraine International Airlines, Belavia",TLV,MSQ,1 stop,5h 40m,612
06.06.2021,"Ukraine International Airlines, Belavia",TLV,MSQ,1 stop,7h 10m,630
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,11h 40m,638
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,13h 25m,647
06.06.2021,"EL AL, Belavia",TLV,MSQ,1 stop,5h 50m,686
06.06.2021,LOT,TLV,MSQ,1 stop,8h 25m,564
06.06.2021,LOT,TLV,MSQ,1 stop,5h 45m,619
06.06.2021,LOT,TLV,MSQ,1 stop,12h 10m,619
06.06.2021,"Arkia, Belavia",TLV,MSQ,1 stop,9h 45m,636
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,9h 40m,636
06.06.2021,"EL AL, Belavia",TLV,MSQ,1 stop,10h 05m,692
06.06.2021,"ISRAIR, Belavia",TLV,MSQ,1 stop,6h 35m,723
06.06.2021,KLM,TLV,MSQ,1 stop,10h 45m,743
06.06.2021,"EL AL, Belavia",TLV,MSQ,1 stop,9h 20m,813
06.06.2021,"EL AL, Belavia",TLV,MSQ,1 stop,14h 50m,620
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,13h 45m,636
06.06.2021,"EL AL, Belavia",TLV,MSQ,1 stop,13h 40m,636
06.06.2021,"Blue Air, Belavia",TLV,MSQ,2 stops,14h 15m,692
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,15h 15m,723
06.06.2021,Multiple Airlines,TLV,MSQ,2 stops,10h 15m,743
06.06.2021,"Pegasus Airlines, Belavia",TLV,MSQ,2 stops,9h 40m,813
06.06.2021,"Ukraine International Airlines, airBaltic",TLV,MSQ,2 stops,8h 50m,620
06.06.2021,Turkish Airlines,TLV,MSQ,2 stops,8h 50m,769
06.06.2021,"EL AL, Turkish Airlines",TLV,MSQ,2 stops,13h 50m,769
06.06.2021,"EL AL, airBaltic",TLV,MSQ,2 stops,15h 10m,771
06.06.2021,"Turkish Airlines, Belavia",TLV,MSQ,2 stops,10h 30m,796
06.06.2021,"Vueling, airBaltic",TLV,MSQ,2 stops,14h 05m,831
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,10h 45m,843
06.06.2021,Turkish Airlines,TLV,MSQ,1 stop,14h 50m,850
06.06.2021,"EL AL, Turkish Airlines",TLV,MSQ,2 stops,12h 55m,854
06.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,MSQ,1 stop,14h 55m,872
06.06.2021,Turkish Airlines,TLV,MSQ,2 stops,9h 55m,885
06.06.2021,"Pegasus Airlines, Turkish Airlines",TLV,MSQ,1 stop,13h 10m,766
06.06.2021,EL AL,TLV,MSQ,1 stop,10h 05m,769
06.06.2021,EL AL,TLV,MSQ,1 stop,5h 45m,769
06.06.2021,"LOT, airBaltic",TLV,MSQ,2 stops,9h 15m,771
06.06.2021,"LOT, airBaltic",TLV,MSQ,2 stops,14h 10m,796
06.06.2021,"Royal Jordanian, Turkish Airlines",TLV,MSQ,2 stops,11h 35m,843
