06.06.2021,Wizz Air,TLV,SBZ,2 stops,14h 20m,579
06.06.2021,Lufthansa,TLV,SBZ,1 stop,10h 20m,"1,732"
06.06.2021,Austrian Airlines,TLV,SBZ,1 stop,9h 05m,"1,750"
06.06.2021,Multiple Airlines,TLV,SBZ,2 stops,10h 10m,"1,767"
06.06.2021,"Turkish Airlines, Austrian Airlines",TLV,SBZ,2 stops,9h 00m,"1,769"
06.06.2021,Lufthansa,TLV,SBZ,1 stop,17h 50m,"1,841"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,19h 55m,"1,853"
06.06.2021,"Turkish Airlines, Lufthansa",TLV,SBZ,2 stops,11h 15m,"1,870"
06.06.2021,"Turkish Airlines, Lufthansa",TLV,SBZ,2 stops,19h 50m,"1,914"
06.06.2021,"Turkish Airlines, Austrian Airlines",TLV,SBZ,2 stops,10h 30m,"1,720"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,12h 45m,"1,741"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,12h 45m,"1,773"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,17h 35m,"1,775"
06.06.2021,"Turkish Airlines, Austrian Airlines",TLV,SBZ,2 stops,17h 35m,"1,848"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,20h 15m,"1,859"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,20h 15m,"1,876"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,20h 15m,"1,921"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,20h 15m,"1,949"
06.06.2021,Lufthansa,TLV,SBZ,2 stops,20h 15m,"1,727"
06.06.2021,Multiple Airlines,TLV,SBZ,2 stops,10h 20m,"1,292"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,19h 55m,"1,417"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,17h 35m,"1,771"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,18h 45m,"1,801"
06.06.2021,Multiple Airlines,TLV,SBZ,3 stops,18h 10m,"1,816"
06.06.2021,"Turkish Airlines, Lufthansa",TLV,SBZ,3 stops,18h 45m,"1,827"
06.06.2021,"Turkish Airlines, Lufthansa",TLV,SBZ,3 stops,11h 15m,"1,904"
06.06.2021,"EL AL, Lufthansa",TLV,SBZ,2 stops,14h 55m,"1,922"
06.06.2021,EL AL,TLV,SBZ,2 stops,14h 55m,"1,629"
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,899
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,"1,357"
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,"1,399"
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,"1,552"
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,"1,861"
06.06.2021,SWISS,TLV,SBZ,2 stops,17h 30m,"1,889"
