23.06.2021,"Ryanair, Alitalia",TLV,SFO,3 stops,41h 57m,"1,092"
23.06.2021,United Airlines,TLV,SFO,nonstop,15h 05m,"1,937"
23.06.2021,Vueling,TLV,SFO,1 stop,24h 15m,"1,889"
23.06.2021,SWISS,TLV,SFO,1 stop,18h 15m,"1,479"
23.06.2021,American Airlines,TLV,SFO,1 stop,19h 52m,"1,393"
23.06.2021,Lufthansa,TLV,SFO,1 stop,18h 00m,"1,859"
23.06.2021,Lufthansa,TLV,SFO,1 stop,21h 00m,"1,946"
23.06.2021,Lufthansa,TLV,SFO,1 stop,16h 40m,"1,966"
23.06.2021,United Airlines,TLV,SFO,1 stop,19h 40m,"1,973"
23.06.2021,Delta,TLV,SFO,1 stop,17h 00m,"2,002"
23.06.2021,United Airlines,TLV,SFO,1 stop,16h 40m,"2,082"
23.06.2021,American Airlines,TLV,SFO,1 stop,23h 20m,"2,083"
23.06.2021,United Airlines,TLV,SFO,1 stop,21h 00m,"2,093"
23.06.2021,United Airlines,TLV,SFO,1 stop,22h 38m,"2,144"
23.06.2021,British Airways,TLV,SFO,1 stop,20h 10m,"2,168"
23.06.2021,Alitalia,TLV,SFO,2 stops,24h 52m,"1,859"
23.06.2021,"Pegasus Airlines, French Bee",TLV,SFO,2 stops,24h 00m,"1,909"
23.06.2021,"EL AL, French Bee",TLV,SFO,1 stop,21h 55m,"1,876"
23.06.2021,"Alitalia, Vueling",TLV,SFO,2 stops,24h 25m,"1,878"
23.06.2021,"Alitalia, Vueling",TLV,SFO,2 stops,24h 10m,"1,986"
23.06.2021,"Pegasus Airlines, Air Caraïbes",TLV,SFO,2 stops,24h 00m,"1,990"
23.06.2021,Iberia,TLV,SFO,2 stops,23h 55m,"1,997"
23.06.2021,United Airlines,TLV,SFO,2 stops,22h 11m,"2,025"
23.06.2021,American Airlines,TLV,SFO,2 stops,23h 58m,"2,107"
23.06.2021,American Airlines,TLV,SFO,2 stops,25h 11m,"2,108"
23.06.2021,Royal Jordanian,TLV,SFO,2 stops,23h 25m,"2,119"
23.06.2021,Delta,TLV,SFO,2 stops,21h 03m,"2,170"
23.06.2021,Delta,TLV,SFO,2 stops,20h 36m,"2,171"
23.06.2021,Delta,TLV,SFO,2 stops,21h 17m,"1,878"
23.06.2021,Delta,TLV,SFO,2 stops,21h 49m,"1,989"
23.06.2021,Delta,TLV,SFO,2 stops,22h 33m,"1,989"
23.06.2021,Delta,TLV,SFO,2 stops,22h 55m,"2,038"
23.06.2021,Delta,TLV,SFO,2 stops,23h 22m,"1,878"
23.06.2021,Delta,TLV,SFO,2 stops,23h 45m,"1,990"
23.06.2021,Delta,TLV,SFO,2 stops,24h 43m,"1,997"
23.06.2021,"Ukraine International Airlines, Vueling",TLV,SFO,2 stops,23h 55m,"1,997"
23.06.2021,Delta,TLV,SFO,2 stops,21h 03m,"2,031"
23.06.2021,Delta,TLV,SFO,2 stops,23h 13m,"2,107"
23.06.2021,Delta,TLV,SFO,2 stops,23h 13m,"2,119"
23.06.2021,Delta,TLV,SFO,2 stops,24h 20m,"2,170"
23.06.2021,Delta,TLV,SFO,2 stops,25h 00m,"2,171"
23.06.2021,Lufthansa,TLV,SFO,2 stops,23h 29m,"1,878"
23.06.2021,Lufthansa,TLV,SFO,2 stops,25h 35m,"2,018"
23.06.2021,Lufthansa,TLV,SFO,2 stops,25h 35m,"2,024"
23.06.2021,United Airlines,TLV,SFO,2 stops,20h 04m,"2,025"
23.06.2021,Lufthansa,TLV,SFO,2 stops,23h 10m,"2,057"
