iata_code,name,continent,iso_country,municipality
UTK,Utirik Airport,OC,MH,Utirik Island
OCA,Ocean Reef Club Airport,NA,US,Key Largo
PQS,Pilot Station Airport,NA,US,Pilot Station
CSE,Crested Butte Airpark,NA,US,Crested Butte
JCY,LBJ Ranch Airport,NA,US,Johnson City
PMX,Metropolitan Airport,NA,US,Palmer
WLR,Loring Seaplane Base,NA,US,Loring
NUP,Nunapitchuk Airport,NA,US,Nunapitchuk
PTC,Port Alice Seaplane Base,NA,US,Port Alice
ICY,Icy Bay Airport,NA,US,Icy Bay
PPV,Port Protection Seaplane Base,NA,US,Port Protection
KKK,Kalakaket Creek AS Airport,NA,US,Kalakaket Creek
MHS,Dunsmuir Muni-Mott Airport,NA,US,Dunsmuir
NIR,Chase Field Industrial Airport,NA,US,Beeville
GCT,Grand Canyon Bar Ten Airstrip,NA,US,Whitmore
ELW,Ellamar Seaplane Base,NA,US,Ellamar
LVD,Lime Village Airport,NA,US,Lime Village
HGZ,Hog River Airport,NA,US,Hogatza
OTN,Ed-Air Airport,NA,US,Oaktown
TLF,Telida Airport,NA,US,Telida
BZT,Eagle Air Park,NA,US,Brazoria
HBH,Entrance Island Seaplane Base,NA,US,Entrance Island
FAK,False Island Seaplane Base,NA,US,False Island
BYW,Blakely Island Airport,NA,US,Blakely Island
DRF,Drift River Airport,NA,US,Kenai
BDF,Rinkenberger Restricted Landing Area,NA,US,Bradford
VRS,Roy Otten Memorial Airfield,NA,US,Versailles
GDH,Golden Horn Lodge Seaplane Base,NA,US,Golden Horn Lodge
ATT,Atmautluak Airport,NA,US,Atmautluak
LIV,Livengood Camp Airport,NA,US,Livengood
PDB,Pedro Bay Airport,NA,US,Pedro Bay
KOZ,Ouzinkie Airport,NA,US,Ouzinkie
TNK,Tununak Airport,NA,US,Tununak
EVA,Ben Bruce Memorial Airpark,NA,US,Evadale
WHD,Hyder Seaplane Base,NA,US,Hyder
MNT,Minto Al Wright Airport,NA,US,Minto
TKI,Tokeen Seaplane Base,NA,US,Tokeen
WKK,Aleknagik / New Airport,NA,US,Aleknagik
WFB,Ketchikan Harbor Seaplane Base,NA,US,Ketchikan
NNK,Naknek Airport,NA,US,Naknek
BKF,Lake Brooks Seaplane Base,NA,US,Katmai National Park
BCS,Southern Seaplane Airport,NA,US,Belle Chasse
SPQ,Catalina Air-Sea Terminal Heliport,NA,US,San Pedro
TSS,East 34th Street Heliport,NA,US,New York
QNY,New York Skyports Inc Seaplane Base,NA,US,New York
BWL,Earl Henry Airport,NA,US,Blackwell
WYB,Yes Bay Lodge Seaplane Base,NA,US,Yes Bay
CWS,Center Island Airport,NA,US,Center Island
TEK,Tatitlek Airport,NA,US,Tatitlek
DUF,Pine Island Airport,NA,US,Corolla
SSW,Stuart Island Airpark,NA,US,Stuart Island
FOB,Fort Bragg Airport,NA,US,Fort Bragg
PUL,Port of Poulsbo Marina Moorage Seaplane Base,NA,US,Poulsbo
CCD,Century City Heliport,NA,US,Los Angeles
WMK,Meyers Chuck Seaplane Base,NA,US,Meyers Chuck
AXB,Maxson Airfield,NA,US,Alexandria Bay
REE,Reese Airpark,NA,US,Lubbock
WDN,Waldron Airstrip,NA,US,East Sound
WWP,Whale Pass Seaplane Float Harbor Facility,NA,US,Whale Pass
CHU,Chuathbaluk Airport,NA,US,Chuathbaluk
UGS,Ugashik Airport,NA,US,Ugashik
MXG,Marlboro Airport,NA,US,Marlboro
PSQ,Philadelphia Seaplane Base,NA,US,Essington
KLL,Levelock Airport,NA,US,Levelock
SGW,Saginaw Seaplane Base,NA,US,Saginaw Bay
WTL,Tuntutuliak Airport,NA,US,Tuntutuliak
TWA,Twin Hills Airport,NA,US,Twin Hills
KCQ,Chignik Lake Airport,NA,US,Chignik Lake
AAD,Adado Airport,AF,SO,Adado
ABP,Atkamba Airport,OC,PG,Atkamba Mission
ABW,Abau Airport,OC,PG,Abau
ALV,Andorra la Vella Heliport,EU,AD,Andorra La Vella
ADC,Andakombe Airport,OC,PG,Andekombe
ADV,El Daein Airport,AF,SD,El Daein
DJH,Jebel Ali Seaplane Base,AS,AE,Jebel Ali
AEE,Adareil Airport,AF,SS,
AEI,Algeciras Heliport,EU,ES,Algeciras
AEK,Aseki Airport,OC,PG,Aseki
AEQ,Ar Horqin Airport,AS,CN,Chifeng
URZ,OrÅ«zgÄn Airport,AS,AF,OrÅ«zgÄn
OLR,Salerno Airport,AS,AF,Khost
AFK,Kondavattavana Tank Seaplane Base,AS,LK,Ampara
AFR,Afore Airstrip,OC,PG,
AFT,Afutara Aerodrome,OC,SB,Bila
RNA,Ulawa Airport,OC,SB,Arona
ATD,Uru Harbour Airport,OC,SB,Atoifi
VEV,Barakoma Airport,OC,SB,Barakoma
GEF,Geva Airport,OC,SB,Liangia
AGG,Angoram Airport,OC,PG,Angoram
AKS,Gwaunaru'u Airport,OC,SB,Auki
BNY,Bellona/Anua Airport,OC,SB,Anua
CHY,Choiseul Bay Airport,OC,SB,
BAS,Ballalae Airport,OC,SB,Ballalae
FRE,Fera/Maringe Airport,OC,SB,Fera Island
HIR,Honiara International Airport,OC,SB,Honiara
MBU,Babanakira Airport,OC,SB,Mbambanakira
AVU,Avu Avu Airport,OC,SB,
IRA,Ngorangora Airport,OC,SB,Kirakira
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,OC,SB,Santa Cruz/Graciosa Bay/Luova
MUA,Munda Airport,OC,SB,
GZO,Nusatupe Airport,OC,SB,Gizo
MNY,Mono Airport,OC,SB,Stirling Island
PRS,Parasi Airport,OC,SB,Parasi
OTV,Ontong Java Atoll Airstrip,OC,SB,Ontong Java Atoll
RNL,Rennell/Tingoa Airport,OC,SB,Rennell Island
EGM,Sege Airport,OC,SB,Sege
NNB,Santa Ana Airport,OC,SB,Santa Ana Island
RUS,Marau Airport,OC,SB,Marau
VAO,Suavanao Airport,OC,SB,Suavanao
XYA,Yandina Airport,OC,SB,Yandina
AGK,Kagua Airport,OC,PG,Kagua
KGE,Kaghau Airport,OC,SB,Kagau Island
KUE,Kukudu Airport,OC,SB,Kolombangara Island
KWS,Kwailabesi Airport,OC,SB,Kwailabesi
AGL,Wanigela Airport,OC,PG,
NAZ,Nana Airport,OC,SB,Star Harbor
RIN,Ringi Cove Airport,OC,SB,Ringi Cove
RBV,Ramata Airport,OC,SB,Ramata
TLG,Tulaghi Heliport,OC,SB,Tulaghi Island
AGY,Argyle Downs Airport,OC,AU,Argyle Downs
AHJ,Hongyuan Airport,AS,CN,Aba
AHT,Amchitka Army Airfield,NA,US,Amchitka Island
AHY,Ambatolhy Airport,AF,MG,Ambatolahy
AIE,Aiome Airport,OC,PG,Aiome
AIH,Aiambak Airport,OC,PG,Aiambak
AIC,Ailinglaplap Airok Airport,OC,MH,Bigatyelang Island
CEX,Chena Hot Springs Airport,NA,US,Chena Hot Springs
SOL,Solomon State Field,NA,US,Solomon
HED,Herendeen Bay Airport,NA,US,Herendeen Bay
TWE,Taylor Airport,NA,US,Taylor
KTH,Tikchik Lodge Seaplane Base,NA,US,Tikchik
NKI,Naukati Bay Seaplane Base,NA,US,Tuxekan Island
LNI,Lonely Air Station,NA,US,Lonely
CDL,Candle 2 Airport,NA,US,Candle
AOS,Amook Bay Seaplane Base,NA,US,Amook Bay
BSZ,Bartletts Airport,NA,US,Egegik
BSW,Boswell Bay Airport,NA,US,Boswell Bay
AKM,Zakuoma Airport,AF,TD,ZaKouma
TGE,Sharpe Field,NA,US,Tuskegee
ALZ,Alitak Seaplane Base,NA,US,Lazy Bay
PPE,Mar de CortÃ©s International Airport,NA,MX,Puerto PeÃ±asco
AME,Alto Molocue Airport,AF,MZ,Alto Molocue
AMF,Ama Airport,OC,PG,
AMU,Amanab Airport,OC,PG,Amanab
AMY,Ambatomainty Airport,AF,MG,
ANH,Anuha Island Resort Airport,OC,SB,Anhua Island
INU,Nauru International Airport,OC,NR,Yaren District
ANZ,Angus Downs Airport,OC,AU,Angus Downs Station
ANL,Andulo Airport,AF,AO,
CNZ,Cangamba Airport,AF,AO,Cangamba
DRC,Dirico Airport,AF,AO,Dirico
GGC,Lumbala Airport,AF,AO,Lumbala
JMB,Jamba Airport,AF,AO,Jamba
KNP,Capanda Airport,AF,AO,Capanda
NDF,Ndalatandos Airport,AF,AO,Ndalatandos
AOA,Aroa Airport,OC,PG,Agevairu
AOB,Annanberg Airport,OC,PG,
AOD,Abou-DeÃ¯a Airport,AF,TD,Abou-DeÃ¯a
APP,Asapa Airport,OC,PG,
APR,April River Airport,OC,PG,April River
QET,Troll Airfield,AN,AQ,Troll Station
AQY,Girdwood Airport,NA,US,Girdwood
QRF,Bragado Airport,SA,AR,Bragado
CVI,Caleta Olivia Airport,SA,AR,Caleta Olivia
CNT,Charata Airport,SA,AR,Charata
VGS,General Villegas Airport,SA,AR,General Villegas
LMD,Los Menucos Airport,SA,AR,Los Menucos
SZQ,Saenz PeÃ±a Airport,SA,AR,Presidencia Roque SÃ¡enz PeÃ±a
VCF,Valcheta Airport,SA,AR,Valcheta
NCJ,Sunchales Aeroclub Airport,SA,AR,Sunchales
CPG,Carmen De Patagones Airport,SA,AR,Carmen de Patagones
PRQ,Termal Airport,SA,AR,Presidencia Roque SÃ¡enz PeÃ±a
OLN,Colonia Sarmiento Airport,SA,AR,Sarmiento
ARP,Aragip Airport,OC,PG,
ARX,Asbury Park Neptune Air Terminal,NA,US,Asbury Park
TAV,Tau Airport,OC,AS,Tau Village
ASZ,Asirim Airport,OC,PG,
ATN,Namatanai Airport,OC,PG,Namatanai
ATP,Aitape Airport,OC,PG,Aitape
LYT,Lady Elliot Island Airstrip,OC,AU,Lady Elliot Island
AGW,Agnew Airport,OC,AU,Agnew
AYD,Alroy Downs Airport,OC,AU,Alroy Downs
BYX,Baniyala Airport,OC,AU,Baniyala
COB,Coolibah Airport,OC,AU,Coolibah
CRJ,Coorabie Airport,OC,AU,Coorabie
CRY,Carlton Hill Airport,OC,AU,Carlton Hill
CSD,Cresswell Downs Airport,OC,AU,Cresswell Downs
DYM,Diamantina Lakes Airport,OC,AU,Diamantina Lakes
HIS,Hayman Island Resort Seaplane Base,OC,AU,Hayman Island
HLV,Helenvale Airport,OC,AU,Helenvale
KBD,Kimberley Downs Airport,OC,AU,Kimberley Downs
KGR,Kulgera Airport,OC,AU,Kulgera
MWY,Miranda Downs Airport,OC,AU,Miranda Downs
MYO,Camballin Airport,OC,AU,Myroodah
OKB,Orchid Beach Airport,OC,AU,Orchid Beach
PEP,Peppimenarti Airport,OC,AU,Peppimenarti
RDA,Rockhampton Downs Airport,OC,AU,Rockhampton Downs
SSK,Sturt Creek Airport,OC,AU,Sturt Creek
SWB,Shaw River Airport,OC,AU,Shaw River
TPR,Tom Price Airport,OC,AU,Tom Price
TWP,Torwood Airport,OC,AU,Torwood
ZVG,Springvale Airport,OC,AU,Springvale
AUI,Aua Island Airport,OC,PG,Aua Island
AUJ,Ambunti Airport,OC,PG,Ambunti
AUP,Agaun Airport,OC,PG,
AUV,Aumo Airport,OC,PG,Aumo
AWE,Alowe Airport,AF,GA,Wonga WonguÃ© Presidential Reserve
AWR,Awar Airport,OC,PG,Awar
AXF,Alxa Left Banner Bayanhot Airport,AS,CN,Bayanhot
KPM,Kompiam Airport,OC,PG,
BUA,Buka Airport,OC,PG,Buka Island
BRP,Biaru Airport,OC,PG,Biaru
CMU,Chimbu Airport,OC,PG,Kundiawa
MDM,Munduku Airport,OC,PG,Munduku
KPF,Kondobol Airport,OC,PG,Kondobol
DNU,Dinangat Airport,OC,PG,Dinangat
DOI,Doini Airport,OC,PG,Castori Islets
DAU,Daru Airport,OC,PG,Daru
EMS,Embessa Airport,OC,PG,Embessa
XYR,Edwaki Airport,OC,PG,Yellow River Mission
EPT,Eliptamin Airport,OC,PG,Eliptamin
EGA,Engati Airstrip,OC,PG,Engati
EMO,Emo River Airstrip,OC,PG,Emo Mission
ERU,Erume Airport,OC,PG,Erume
MFZ,Meselia Airport,OC,PG,Demgulu
FRQ,Feramin Airport,OC,PG,Feramin
FAQ,Frieda River Airport,OC,PG,Frieda River
FUM,Fuma Airport,OC,PG,Fuma
GKA,Goroka Airport,OC,PG,Goronka
